race_number,circle,division,class_name,place_class,place_overall,boat_name,sail_number,design,owner,rating,finish_status,finish_time_utc,elapsed_sec,corrected_sec,elapsed_hms,corrected_hms,finish_local,retire_reason
1,Around Long Island Course - Spinnaker,PHRF,Spinnaker Division 0 - Warning Signal 12:10,3,6,Avalanche,GBR20,Soto 40,Albrecht/ Gesualdo,-33,AOK,2025-07-25T14:11:22.000Z,93382,100213,25:56:22,27:50:13,2025-07-25 14:11:22,
1,Around Long Island Course - Spinnaker,PHRF,Spinnaker Division 0 - Warning Signal 12:10,4,8,Cougar,USA4900,J/160,Leonard Sitar,-3,AOK,2025-07-25T16:09:32.000Z,100472,101093,27:54:32,28:04:53,2025-07-25 16:09:32,
1,Around Long Island Course - Spinnaker,PHRF,Spinnaker Division 0 - Warning Signal 12:10,5,11,Ohana,USA435,Arcona 435 MkII,Ken Wisdom,-9,AOK,2025-07-25T16:41:37.000Z,102397,104260,28:26:37,28:57:40,2025-07-25 16:41:37,
1,Around Long Island Course - Spinnaker,PHRF,Spinnaker Division 0 - Warning Signal 12:10,6,20,Hunter,USA 2388,Mills 41,United States Merchant Marine Academy,-45,AOK,2025-07-25T16:41:51.000Z,102411,111726,28:26:51,31:02:06,2025-07-25 16:41:51,
1,Around Long Island Course - Spinnaker,PHRF,Spinnaker Division 0 - Warning Signal 12:10,8,,Rocksteady,USA60492,Xp 44,Baudoin Lorans,,DNC,,,,,,,
1,Around the Islands Course - Non-Spinnaker,PHRF,Non-Spinnaker Division 3 - Warning Signal 11:10,1,1,Shooting Star,USA20802,Peterson 34,David Kingsbury,114,AOK,2025-07-26T11:19:13.000Z,173053,144553,48:04:13,40:09:13,2025-07-26 11:19:13,
1,Around the Islands Course - Spinnaker,PHRF,Spinnaker Division 6 - Warning Signal 11:30,1,2,Imagine,USA108,X382,Matt Blake,93,AOK,2025-07-26T06:28:05.000Z,154385,131135,42:53:05,36:25:35,2025-07-26 06:28:05,
1,Around the Islands Course - Spinnaker,PHRF,Spinnaker Division 6 - Warning Signal 11:30,2,5,Maestrale,113,Tartan 10,Rad Kurek,120,AOK,2025-07-26T11:23:46.000Z,172126,142126,47:48:46,39:28:46,2025-07-26 11:23:46,
1,Around the Islands Course - Spinnaker,PHRF,Double-Handed Division 8 - Warning Signal 11:40,1,1,Halve Maen,USA075,TARTAN 33,Walther van Stipriaan,156,AOK,2025-07-26T10:26:58.000Z,168118,129118,46:41:58,35:51:58,2025-07-26 10:26:58,
1,Around the Islands Course - Spinnaker,PHRF,Double-Handed Division 8 - Warning Signal 11:40,2,3,Abilyn,USA25559,J 120,Josh Reisberg,39,AOK,2025-07-26T03:15:46.000Z,142246,132496,39:30:46,36:48:16,2025-07-26 03:15:46,
1,Around the Islands Course - Spinnaker,PHRF,Double-Handed Division 8 - Warning Signal 11:40,3,4,Liberty,USA 61565,Pogo 36,Nick Nilsen,51,AOK,2025-07-26T04:24:58.000Z,146398,133648,40:39:58,37:07:28,2025-07-26 04:24:58,
